Artist,Song Title,Genre (Aneeka),Genre (Samantha),Genre (Michael) ,Lyrics
Post Malone,Candy Paint,Electronic,Hip-Hop,Hip-Hop,"Yeah, mmm Candy paint with the white on top Lambo doors of the oo-op drop  If you busy plotting on what I got Kick in your door, that's SWAT you thot Hundred thousand dollars on the table top Half price my whips same price my watch Got no jumper but I ball a lot Bitch I'm young stoney, I do what I want Candy paint with the white on top Lambo doors of the oo-op drop  If you busy plotting on what I got Kick in your door, that's SWAT you thot Hundred thousand dollars on the table top Half price my whips same price my watch Got no jumper but I ball a lot Bitch I'm young stoney, I do what I want Didn't know that was your girl when she gave me top Kicked her out the Rolls said, ""Thanks a lot"" God damn I love paper like I'm Michael Scott I can do things that your man cannot Slide boy comin' down, damn I'm hot Everybody say that I gotta be stopped Even though my final form ain't unlocked I'm so ahead of you motherfuckers How you comprehend what you ain't understanding? Count a hundred bands and I watch it vanish Diamonds going crazy like they on the Dance floor Got a lot of ass, nothing I can't handle Flavor that's whatever, you should try a sample Baby I'm the boss like I'm Tony Danza Everybody trying to tell me what I stand for But you don't fucking know me homie you don't want war Candy paint with the white on top Lambo doors of the oo-op drop  If you busy plotting on what I got Kick in your door, that's SWAT you thot Hundred thousand dollars on the table top Half price my whips same price my watch Got no jumper but I ball a lot Bitch I'm young stoney, I do what I want Candy paint with the white on top Lambo doors of the oo-op drop  If you busy plotting on what I got Kick in your door, that's SWAT you thot Hundred thousand dollars on the table top Half price my whips same price my watch Got no jumper but I ball a lot Bitch I'm young stoney, I do what I want I've been rolling twenty ash hit the road Hit the switch open the suicide doors We already know you vanished though Hit my momma when I ride in that, oh All these motherfuckers so false with me If your money funny, don't talk to me (nah) I know there ain't shit that you could offer me Take a second if you think about crossing me It lasts forever, you should try a sample Baby I'm the boss like I'm Tony Danza Everybody trying to tell me what I stand for But you don't fucking know me homie you don't want war Candy paint with the white on top Lambo doors of the oo-op drop  If you busy plotting on what I got Kick in your door, that's SWAT you thot Hundred thousand dollars on the table top Half price my whips same price my watch Got no jumper but I ball a lot Bitch I'm young stoney, I do what I want Candy paint with the white on top Lambo doors of the oo-op drop  If you busy plotting on what I got Kick in your door, that's SWAT you thot Hundred thousand dollars on the table top Half price my whips same price my watch Got no jumper but I ball a lot Bitch I'm young stoney, I do what I want"
Post Malone,Congratulations,Hip-Hop,Hip-Hop,Hip-Hop,"My mama called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say congratulations Worked so hard, forgot how to vacation They ain't never had the dedication People hatin', say we changed and look we made it Yeah, we made it They was never friendly, yeah Now I'm jumping out the Bentley, yeah And I know I sound dramatic, yeah But I knew I had to have it, yeah For the money, I'm a savage, yeah Got me itching like a habit, yeah I'm surrounded twenty bad bitch, yeah But they didn't know me last year, yeah Everyone wanna act like they important (Yeah-yeah-yeah, yeah-yeah-yeah) But all that mean nothing when I saw my dog (Yeah-yeah-yeah, yeah-yeah-yeah) Everyone counting on me drop the ball (Yeah-yeah-yeah, yeah-yeah-yeah) Everything custom like I'm at the border, yeah, yeah If you fuck with winning, put your lighters to the sky How could I make sense when I got millions on my mind? Coming with that bullshit, I just put it to the side Balling since a baby, they could see it in my eyes My mama called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say congratulations Worked so hard, forgot how to vacation They ain't never had the dedication People hatin', say we changed and look we made it Yeah, we made it I was patient, yeah-oh I was patient, ay-oh Now I can scream that we made it Now everyone, everywhere I go, they say 'gratulations Young nigga, young nigga, graduation I pick up the rock and I ball, baby I'm looking for someone to call, baby But right now I got a situation Never old, been Ben Franklins Big rings, champagne My life is like a ball game But instead I'm in the Trap, though Pot so big, call it Super Bowl Super Bowl, call the hoes, get in the Rolls Top floor lifestyle, Honcho and Post Malone, I got a play on my phone, ay You know what I'm on, ay Huncho Houdini is gone, ay My mama called, seen you on TV, son Said shit done changed ever since we was on I dreamed it all ever since I was young They said I wouldn't be nothing Now they always say congratulations Worked so hard, forgot how to vacation They ain't never had the dedication People hatin', say we changed and look we made it Yeah, we made it"
Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Pop,Pop,Pop,"Oh, baby, I'm thinkin' maybe That you were always a piece of shh You're rubbin' your dirt on everyone's skirt You know how to be a d D-dónde están tus modales que no aprendiste ni a saludar Parece que hoy me gustas un poco más (Ok) Hola, comment allez, allez-vous So nice to meet ya You say we shoud go and get a room (No) If you wanna turn it on Go, get a lightbulb, después hablamos If you wanna turn it on Go, get a lighter, después bailamos Oh, un, dos, tres Un, dos, tres Si te doy un beso ya estás a mis pies Dime un, dos, tres Un, dos, tres La, la, la, la, la Baby, just hush the talkin' And let my lovin' ease your mind If love's the game, let's play a million times (Mm-hmm) Baby, give it to me, I'll be good company Baby, mi nombre es Jason Derulo, oh If you wanna turn it on Go, get a lightbulb, después hablamos (Hey) If you wanna turn it on Go, get a lighter, después bailamos (Ya, ya) Oh, un, dos, tres Un, dos, tres Si te doy un beso ya estás a mis pies Dime un, dos, tres (Un, dos, tres) Un, dos, tres La, la, la, la, la De La Ghetto, baby OK Disculpe la ignorancia, nunca quise lastimarte Lo que quiero es transformarte en mi diosa, mi obra de arte (Ok) Dime si tu quiere' averiguar cómo se hace Prendemo' toda la noche y a las nubes voy a llevarte Quiero yo enseñarte mucha' cosa' interesante (DeLa) Convertirte en mi dama, en la cama amarrarte (Ok) Besarte arriba, abajo pa' ponerlo interesante (Tu sabes) Después de todo, de esto no vas a olvidarte (Jason) Hola, comment allez, allez-vous (Sofia) (Wassup) (DeLa) (Jason Derulo) It's 'bout time we go and get a room Ooh If you wanna turn it on Go, get a lightbulb, después hablamos (Hey) If you wanna turn it on Go, get a lighter, después bailamos Oh, un, dos, tres Un, dos, tres Si te doy un beso ya estás a mis pies Dime un, dos, tres Un, dos, tres La, la, la, la, la La la la la la Un, dos, tres Un, dos, tres Care for me, uno, dos tres Un, dos, tres Un, dos, tres Love how you count it out for me, babe Un, dos, tres I'mma make you a freak, uh Care for me, uno, dos tres Un, dos, tres (Hey) Un, dos, tres Love how you count it out for me, babe"
Natti Natasha,Criminal,,,,"Uh oh oh oh  El negrito ojos claros  Ozuna Miento  Si te digo que en ti no ando pensando  Quisiera saber lo que estás haciendo  Te llamo pero me sale ocupado, oh Tú me robaste el corazón como un criminal  Bebé yo no puedo negarlo  Esto que siento por ti no puede ser legal, ah Criminal, cri-criminal  Tu estilo, tu flow, baby muy criminal  Criminal, uh criminal ah Criminal, cri-criminal  Tu estilo, tu flow, mami muy criminal  Criminal, cri-criminal ah Ya tú me miras como que te pongo mal  De lejos yo puedo observar  Lo que tu mente puede pensar  Tú me dices que yo me dejo llevar  Será porque tienes un flow  Demasio' de cri-criminal baby Similar yo la he visto por ahí Que solo la mire de lejitos  Y se ponga así, salvaje  Báilame pero con coraje  Y deja que esta pista haga te suba el traje Miento  Si te digo que en ti no ando pensando  Quisiera saber lo que estás haciendo  Te llamo pero me sale ocupado, oh Tú me robaste el corazón como un criminal  Bebé yo no puedo negarlo  Esto que siento por ti no puede ser legal, ah Criminal, cri-criminal  Tu estilo, tu flow, baby muy criminal  Criminal, uh criminal, ah Criminal, cri-criminal Tu estilo, tu flow, mami muy criminal  Criminal, cri-criminal, ah Como tú no hace, rompe la ley  Tú eres un delito que yo quiero cometer  Si por eso dieran tiempo, perpetuar debieras ver  Para mis problemas que no quiero resolver, no  Tú me encantas, yo no te quiero mentir  Tú, tú eres para mí, yo no te quiero compartir  Si mala maña, la cosa se nos daña  Tú, no te has ido y mi cuerpo a ti te extraña  Tú me miras, como que te pongo mal  De lejos yo puedo observar  Lo que tu mente puede pensar  Tú me dices que yo me dejo llevar  Será porque tienes un flow  Demasio' de cri-criminal, baby Criminal, cri-criminal  Tu estilo, tu flow, baby muy criminal  Criminal, uh criminal, ah Criminal, cri-criminal  Tu estilo, tu flow, mami muy criminal  Criminal, cri-criminal, ah Pina Records  Dimelo Vi  Natti Nat, Natti Nat  La Fórmula"
Rich The Kid,Plug Walk,Hip-Hop,Hip-Hop,Hip-Hop,"Ayy, ayy, plug walk (plug walk, plug, plug) I don't even understand how the fuck my plug talk (huh? what, what?) Pick him up in a space coupe, I don't let my plug walk (skrrt, pull up in a space coupe) New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch) 50K, you could come and book a nigga for a plug walk You can't reach me (what?), space coupe like E.T It's the plug tryna call me (skrrt, skrrt) I was up Trappin' early in the morning (plug) Ooh, on the wave like a du-rag (du-rag) Pussy nigga callin' for his boo back (pussy) Plug walk, Gucci on my shoe racks (Gucci) Walk up in the house with a rat-a-tat 'Til I ran into the plug ('til I ran into the plug) 'Til I ran into the mud (to the mud) I done ran into some racks, I done ran into your girl (your girl) Why the plug show me love? (Show me love) I done came up from a dub (huh?) Plug walk (plug walk, plug, plug) I don't even understand how the fuck my plug talk (huh? what, what?) Pick him up in a space coupe, I don't let my plug walk (skrrt, pull up in a space coupe) New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch) 50K, you could come and book a nigga for a plug walk Big ol' Bentley, it's a spaceship (whoa) Call me on my phone, I don't say shit (what?) I make money when I talk (when I talk) I'm a boss, take a loss (I'm a what?) I could introduce you to the plug (to the plug) Bitch, this ain't no Henny in my cup (lil' bitch) Stayed down, now the racks up (racks up) She gon' let me fuck, ass up (ass up) Plug I stuck keys in the Louis V (Louis V) Fuck 12, I'm a G, ain't no stoppin' me (ain't no stoppin' me) And my wrist is on overseas (drip) Rich nigga, you can't talk to me (rich) Ayy, plug walk (plug walk, plug, plug) I don't even understand how the fuck my plug talk (huh? what, what?) Pick him up in a space coupe, I don't let my plug walk (skrrt, pull up in a space coupe) New freak, had to cut my other lil' bitch off (ooh, ooh, lil' bitch) 50K, you could come and book a nigga for a plug walk"
Billie Eilish,lovely (with Khalid),Alternative,Indie,Pop,"Thought I found a way Thought I found a way, yeah (found) But you never go away (never go away) So I guess I gotta stay now Oh, I hope some day I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can fight my fear Isn't it lovely, all alone? Heart made of glass, my mind of stone Tear me to pieces, skin to bone Hello, welcome home Walkin' out of town Lookin' for a better place (lookin' for a better place) Something's on my mind Always in my headspace But I know some day I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can fight my fear Isn't it lovely, all alone? Heart made of glass, my mind of stone Tear me to pieces, skin and bone Hello, welcome home Woah, yeah Yeah, ah Woah, woah Hello, welcome home"
Migos,Stir Fry,Hip-Hop,Hip-Hop,Hip-Hop,"Woo, woo, woo, woo Woo, woo, woo, woo Dance with my dogs in the nighttime (wroof) Trap nigga with the chickens like Popeye's (Popeye's) Money changin' colors like tie-dye (tie-dye) I'm just tryna get it, I ain't tryna die (whoa) She got a big ol' onion booty, make the world cry (cry) In the kitchen, wrist twistin' like a stir fry (whip it) Hold them bands down (hey) Hold your mans down (hey) Who told you come around? (who?) This that Trap sound (Trap) Designer clothes (clothes), fashion shows (shows) Trap, house (house), made of gold (gold) Control the bag now (control it) No need to brag now (no need) Ayy, put the mask down (mask) We livin' fast now (fast) Finest hoes (finest), wrist froze (froze) We can go (we can), coast to coast (coast) Watchin' me whip up, still be real and famous Dance with my dogs in the nighttime (yeah, woo, woo, woo, roof) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) (Offset) Take it, whip it, intermission, let the birds fly (brrr) I get money, tunnel vision through my third eye (money) In that skillet, watch me flip it like it's Five Guys (flip it) Look at my pilgrim, check out the ceiling, look at the blue sky (skrrt) Icy Patek, check, yeah, boogers, they sit on my neck (ice) I don't regret shit, yeah, I'm petty and I don't got a debt You crawl 'fore you walk, you can ball every week For my dogs 'hind the wall, we gon' ball when you free (ball) Stop watchin' me, democracy, you wanna copy me (you watchin') Life's Monopoly, go cop me some land and some property (property) AP, Rolls, pink diamonds, whoa Whip up the soda, diamonds off the Royce (hey) Keep watchin' me whip up, still be real and famous Dance with my dogs in the night time, yeah (wroof) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (wroof) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, curry chicken, call it stir fry Takeoff, I'm the bird keeper, let the birds fly Why's tryna take my prize? You a dead guy Of course, I gotta keep watch out through my bird eye No casket, drop dead fresh and I got dead guys Don't discriminate, ball players come in all sizes Finger roll, post move or the pick and roll They mad the way we win, they think we used a cheat code Why you keep lookin' at me? I feel like niggas got static It must be the Patek, pockets blue cheese, I'm in the kitchen In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) Keep watchin' me whip up, still be real and famous Dance with my dogs in the night time yeah (wroof) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (whip it) In the kitchen, wrist twistin' like a stir fry (wroof)"
Kendrick Lamar,HUMBLE.,Hip-Hop,Hip-Hop,Rap,"Nobody pray for me Even a day for me Way (yeah, yeah!) Ay, I remember syrup sandwiches and crime allowances Finesse a nigga with some counterfeits But now I'm countin' this Parmesan where my accountant lives In fact, I'm downin' this D'USSÉ with my boo bae, tastes like Kool-Aid for the analysts Girl, I can buy yo' ass the world with my paystub Ooh, that pussy good, won't you sit it on my taste bloods? I get way too petty once you let me do the extras Pull up on your block, then break it down: we playin' Tetris A.M. to the P.M., P.M. to the A.M., Funk Piss out your per diem, you just gotta hate 'em, Funk If I quit your BM, I still ride Mercedes, Funk If I quit this season, I still be the greatest, Funk My left stroke just went viral Right stroke put lil' baby in a spiral Soprano C, we like to keep it on a high note Its levels to it, you and I know, bitch, be humble sit down (Hol' up lil' bitch, hol' up lil' bitch) be humble (Hol' up, bitch) sit down (Sit down, hol' up, lil' bitch) Be humble (bitch) (Hol' up, hol' up, hol' up, hol' up) bitch, sit down Lil' bitch (hol' up, lil' bitch) be humble (Hol' up, bitch) sit down (Hol' up, hol' up, hol' up, hol' up) be humble (Hol' up, hol' up, hol' up, hol' up, lil' bitch) sit down (Hol' up lil' bitch) be humble (Hol' up, bitch) sit down (Hol' up, sit down, lil' bitch) (Sit down, lil' bitch, be humble) (Hol' up, hol' up, hol' up, hol' up, lil' bitch) bitch, sit down (Hol' up, bitch) be humble (Hol' up, bitch) sit down (Hol' up, hol' up, hol' up, hol' up) Who dat nigga thinkin' that he frontin' on man, man? (Man, man) Get the fuck off my stage, I'm the Sandman (Sandman) Get the fuck off my dick, that ain't right I make a play fuckin' up your whole life I'm so fuckin' sick and tired of the Photoshop Show me somethin' natural like afro on Richard Pryor Show me somethin' natural like ass with some stretchmarks Still will take you down right on your mama's couch in Polo socks, ay This shit way too crazy, ay, you do not amaze me, ay I blew cool from AC, ay, Obama just paged me, ay I don't fabricate it, ay, most of y'all be fakin', ay I stay modest 'bout it, ay, she elaborate it, ay This that Grey Poupon, that Evian, that TED Talk, ay Watch my soul speak, you let the meds talk, ay If I kill a nigga, it won't be the alcohol, ay I'm the realest nigga after all, bitch, be humble sit down (Hol' up lil' bitch, hol' up lil' bitch) be humble (Hol' up, bitch) sit down (Sit down, hol' up, lil' bitch) Be humble (bitch) (Hol' up, hol' up, hol' up, hol' up) bitch, sit down Lil' bitch (hol' up, lil' bitch) be humble (Hol' up, bitch) sit down (Hol' up, hol' up, hol' up, hol' up) be humble (Hol' up, hol' up, hol' up, hol' up, lil' bitch) sit down (Hol' up lil' bitch) be humble (Hol' up, bitch) sit down (Hol' up, sit down, lil' bitch) (Sit down, lil' bitch, be humble) (Hol' up, hol' up, hol' up, hol' up, lil' bitch) bitch, sit down (Hol' up, bitch) be humble (Hol' up, bitch) sit down (Hol' up, hol' up, hol' up, hol' up)"
Ozuna,Vaina Loca,,,,"Aura No va a ser tan fácil Aunque me esquives como quiera Tras de ti, voy tras de ti (yeh) Tú tienes todo lo que quiero para mí Y tú tan sola por ahí Detrás de ti voy a seguir Yo sé que lo bueno toma tiempo, lady Es que me gustas tú na' má' No me importan las demás Una vaina loca que me da Que por más que intento no se va Me gustas tú na' má' No importan las demás Una vaina loca que me da Que por más que intento no se va Me gustas tú na' má', no sé disimular La música que hago sólo en ti me hace pensar Única, una rosa yo me la quiero robar Sencilla, bonita, no se tiene que maquillar Me mata el piquete Baila duro y le mete Con nadie se compromete Y menos si tú le promete Tiene lo que quiero Me tira que yo le llego No sé disimular, bailo contigo y yo me entrego Me mata el piquete Baila duro y le mete Con nadie se compromete Y menos si tú le promete Tiene lo que quiero Me tira que yo le llego No sé disimular, bailo contigo y yo me entrego Es que me gustas tú na' má' No me importan las demás Una vaina loca que me da Que por más que intento no se va Es que me gustas tú na' má' No me importan las demás Una vaina loca que me da Que por más que intento no se va Porque cuando te tengo cerquita Me entra una vaina loca que después no se me quita Es que en mi lista tú eres la favorita Tú eres la única que este hombre necesita Baby tú eres lo que yo quiero Vale más que el dinero Yo viajo el mundo entero Si es por ti no hay pero Siento que por ti desespero Cuando no te tengo más Es que me gustas tú na' má' No me importan las demás Una vaina loca que me da Que por más que intento no se va Me gustas tú na' má' No me importan las demás Una vaina loca que me da Que por más que intento no se va"
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyonce),Pop,Pop,Pop,"I found a love for me Darling just dive right in And follow my lead Well I found a girl beautiful and sweet  I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling, just kiss me slow, your heart is all I own And in your eyes you're holding mine Baby, I'm dancing in the dark with you between my arms Barefoot on the grass, listening to our favorite song When you said you looked a mess, I whispered underneath my breath But you heard it, darling, you look perfect tonight Well I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a love, to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song When I saw you in that dress, looking so beautiful I don't deserve this, darling, you look perfect tonight Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight"
Maluma,Corazon (feat. Nego do Borel),,,,"Alright, alright baby Tú me partiste el corazón (Maluma, baby)  Pero mi amor no hay problema, no no (Rudeboyz)  Ahora puedo regalar (qué)  Un pedacito a cada nena, solo un pedacito Tú me partiste el corazón (ay, mi corazón)  Pero mi amor no hay problema, no no Ahora puedo regalar (qué)  Un pedacito a cada nena, solo un pedacito Ya no vengas más con esos cuento, s mami  Si desde el principio siempre estuve pa' ti  Nunca me avisaron cuál era el problema  Te gusta estar rodando por camas ajena Ahora me tocó a mí cambiar el sistema  Andar con gatas nuevas, repartir el corazón sin tanta pena  Ahora te digo goodbye  Muito obrigado, pa' ti ya no hay Uh woah uh woah uh woah  Uh woah uh woah uh woah No tengo miedo de decir adiós  Yo quiero repartir meu coração Uh woah uh woah uh woah  Uh woah uh woah uh woah Ahora te digo goodbye  Muito obrigado, pa' ti ya no hay (Maluma, baby) Você partiu meu coração (ai, meu coração)  Mas meu amor não tem problema, não não  Agora vai sobrar então (o que? O que?)  Un pedacito a cada nena, solo un pedacito Se eu não guardo nem dinheiro  Que dirá guardar rancor  Você vacilou primeiro  Nosso caso acabou Uh woah uh woah uh woah  Uh woah uh woah uh woah No tengo miedo de decir adiós  Yo quiero repartir meu coração Uh woah, uh woah, uh woah  Uh woah uh woah uh woah Ahora te digo goodbye  Muito obrigado, pa' ti ya no hay Tú me partiste el corazón (ay, mi corazón)  Pero mi amor no hay problema, no no Ahora puedo regalar (qué)  Un pedacito a cada nena, solo un pedacito Tchau tchau Eu não sei falar muito bem Português  Mais quero aprender  Pretty boy baby  Dirty boy baby  Maluma baby Tú me partiste el corazón (Maluma, baby)  Pero mi amor no hay problema (Rudeboyz) Solo un pedacito"
Khalid,Young Dumb & Broke,R&B,R&B,R&B,"So you're still thinking of me Just like I know you should I can not give you everything, you know I wish I could I'm so high at the moment I'm so caught up in this Yeah, we're just young, dumb and broke But we still got love to give While we're young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb broke high school kids Yadadadadadadada Yadadadadadada Yadadadadadadada Young dumb broke high school kids We have so much in common We argue all the time You always say I'm wrong I'm pretty sure I'm right What's fun about commitment? When we have our life to live Yeah, we're just young dumb and broke But we still got love to give While we're young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb broke high school kids Yadadadadadadada Yadadadadadada Yadadadadadadada Young dumb broke high school kids Jump and we think, leave it all in the game of love Love Run into sin, do it all in the name of fun Fun Whoa-oa-oa I'm so high at the moment I'm so caught up in this Yeah, we're just young, dumb and broke But we still got love to give While we're young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb Young, young dumb and broke Young dumb broke high school kids Yadadadadadadada Yadadadadadada Yadadadadadadada Young dumb broke high school kids Yadadadadadadada Yadadadadadada Yadadadadadadada Young dumb broke high school kids"
Ozuna,Siguelo Bailando,,,,"Ohh oh (Jeje)  Nana na nah  Uoh oh  Hi Music Hi Flow  Ozuna Llegó el fin de semana y ya quiere salir  En la monotonía no quiere seguir  Señorita con delicadeza  Me pone loco, de la cabeza  Me dice que quiere seguir Baila conmigo mujer  Que la noche solamente comienza  En tu mirada puedo ver lo que piensas,  Una belleza ma' Baila conmigo mujer  Que la noche solamente comienza  En tu mirada puedo ver lo que piensa Bailando, una belleza Síguelo bailando, que la música no pare, eh eh eh  Cómo a mí me gusta que la noche no se acabe, eh eh eh  Síguelo bailando, que la música no pare, eh eh eh Cómo a ti te gusta que la noche no se acabe, eh eh eh (Ozuna) Ay mami sacude ta' por encima  Bailando me aceleras, la adrenalina  Una maquina de baile, siempre domina  No paramos, disfrutemos pegadito en una esquina Que tú tenga tu aceite  Yo tengo el mío, hay un lío Que la música tiene poderío  Esto se baila en Brasil, Venezuela, y los judío  Argentina, y en Colombia, P.R. Caserío y por lo mío y Síguelo bailando, que la música no pare, eh eh eh  Cómo a mí me gusta que la noche no se acabe, eh eh eh  Síguelo bailando, que la música no pare Cómo a ti te gusta que la noche no se acabe, eh eh eh Baila conmigo mujer  Que la noche solamente comienza  En tu mirada puedo ver lo que piensas Una belleza ma' Baila conmigo mujer  Que la noche solamente comienza  En tu mirada puedo ver lo que piensa Bailando, una belleza Con este ritmo se descontrola  Se pone loquita y se me entrega to'a  Se pega de espalda y se acomoda sola  Pa' bailar no pone excusa no le importa la hora, y a la moda Cuando sale va retumbando  Yo no sé qué tiene que se le quedan mirando  Anda quemando por el mundo viajando  No tiene problema si lo resuelve bailando mami Síguelo bailando, que la música no pare, eh eh eh  Cómo a mí me gusta que la noche no se acabe, eh eh eh  Síguelo bailando, que la música no pare Cómo a ti te gusta que la noche no se acabe, eh eh eh Llegó el fin de semana y ya quiere salir  En la monotonía no quiere seguir  Señorita con delicadeza  Me pone loco de la cabeza  Me dice que quiere seguir Baila conmigo mujer  Que la noche solamente comienza  En tu mirada puedo ver lo que piensas Una belleza ma' Baila conmigo mujer  Que la noche solamente comienza  En tu mirada puedo ver lo que piensas Bailando, una belleza (Uoh oh, oh) Ozuna  El Negrito De Ojitos Claros  Yai y Toly  Ya-ya-yai y Toly  Hi Music, Hi Flow  Hi Music, Hi Flow, oh ohh  Mami, mami  Ingeniero El Negrito De Ojitos Claros"
Anitta,Downtown,,,,"A ella le gusta cuando bajo downtown, downtown, downtown En su cuerpo puedo ver la definición Se ve que lo trabajo eres motivación Le pedí que me ayude con una misión Que me llene entera de satisfacción A mí me gusta cuando baja downtown Le pido que se quede envenciao' Me dice baby, estoy interesao' Si quieres ven y quédate otro round A ella le gusta cuando bajo downtown Me pide que me quede hoy envenciao' Le digo uh mami, estoy interesao' Si quieres yo me quedo pa' otro round Que me quede otro round Tanto que me ha rodeao' Ya lo tengo asfixiao' Yo te he observao' No aguanta, se adapta Me dice ""no quiero que termines"" Es un misterio pero no decide En las noches soy yo la que define  Todo a lo que vá a pasar A mí no me tienes que mandar A mí me gusta cuando baja downtown Le pido que se quede envenciao' Me dice baby, estoy interesao' Si quieres ven y quédate otro round A ella le gusta cuando bajo downtown Me pide que me quede hoy envenciao' Le digo uh mami, estoy interesao' Si quieres yo me quedo pa' otro round Oh, sé que me quieres ver Bajando por toda tu piel Oh, sé que quieres que me quede Enredarte en mis piernas es lo que quieres No se vale el empate, esto es hasta darle jaque mate Hasta que uno de los dos se mate Si quieres yo bajo y de una me pongo pal' trabajo Suelta el estrés, baby, yo te relajo Se pone bella, me dice que ya Sigue ahí, que la tengo viendo las estrellas Se me acelera, hasta abajo se va Y como ella lo hace, no lo hace cualquiera En su cuerpo puedo ver la definición Se ve que lo trabajo eres motivación Le pedí que me ayude con una misión Que me llene entera de satisfacción A mí me gusta cuando baja downtown Le pido que se quede envenciao' Me dice baby, estoy interesao' Si quieres ven y quédate otro round A mí me gusta cuando baja downtown Le pido que se quede envenciao' Me dice baby, estoy interesao' Si quieres ven y quédate otro round Anitta, J Balvin man, J Balvin man (Let go) Sky Rompiendo Rompiendo El Bajo Fenomenal (Hey J Balvin, man)"
Wolfine,Bella,,,,"Ayer me dijeron tus amigas  Que andabas buscándome como loca en la calle  Y yo bebiendo como un loco cerveza  Con unos parceros dañándome la cabeza Borracho con el corazón malo  Caminando solo me la encontré a ella Mujer tan bella y yo con una botella  Me dejé enredar fácil Caí en las garras de ella  Mujer tan bella y yo con una botella  Me dejé enredar fácil  Caí en las garras de ella Me dijeron que andabas un poco triste  Que te pusiste a beber y con un man por ahí te fuiste Ay baby, me dañaste el corazón  Ya no creo en el amor, ahora por ti soy peor  Ay baby, me dañaste el corazón  Ya no creo en el amor, ahora por ti soy peor Yo me fui a matar mi despecho  En la lluvia en la calle sin techo  Pensando por qué te fuiste mujer  Qué te hice yo que no vas a volver Mujer tan bella y yo con una botella  Me dejé enredar fácil Caí en las garras de ella  Mujer tan bella y yo con una botella  Me dejé enredar fácil  Caí en las garras de ella Ayer me dijeron tus amigas  Que andabas buscándome como loca en la calle  Y yo bebiendo como un loco cerveza  Con unos parceros dañándome la cabeza Borracho con el corazón malo  Caminando solo, me la encontré a ella Mujer tan bella y yo con una botella  Me dejé enredar fácil Caí en las garras de ella  Mujer tan bella y yo con una botella  Me dejé enredar fácil  Caí en las garras de ella Wolfine  La versatilidad de la calle  Dj GANSTA  En el ritmo que te provoca  Lucas y Mauri"
